x,y,z
0.0405,0.0,-0.05408216
0.042,0.0,-0.054572042
0.0435,0.0,-0.05506181
0.045,0.0,-0.05555139
0.0465,0.0,-0.056040723
0.048,0.0,-0.056529734
0.0495,0.0,-0.057018347
0.051,0.0,-0.057506498
0.0525,0.0,-0.05799411
0.054,0.0,-0.05848111
0.0555,0.0,-0.058967426
0.057,0.0,-0.059452984
0.0585,0.0,-0.059937716
0.06,0.0,-0.060421538
0.0615,0.0,-0.060904376
0.063,0.0,-0.06138616
0.0645,0.0,-0.06186681
0.066,0.0,-0.062346246
0.0675,0.0,-0.0628244
0.069,0.0,-0.063301176
0.0705,0.0,-0.063776515
0.072,0.0,-0.06425033
0.0735,0.0,-0.06472253
0.075,0.0,-0.06519305
0.0765,0.0,-0.0656618
